State,Population,Year,Religiosity,Diversity,Income,Bachelor's,Legislative,Election Year,Strengthening Economy,Reducing Healthcare Costs(S),Budget Deficit(S),Dealing with Climate Change(S),Protecting Environment,Gun Control(S),Immigration,Reproductive Rights(S)
Alabama," 5,108,468 ",2023,5,2,2,2,1,0,5,4,4,3,5,5,2,6
Alaska," 733,406 ",2023,2,3,3,3,1,0,1,4,3,3,4,5,3,1
Arizona," 7,431,344 ",2023,3,3,3,3,2,0,5,5,5,3,3,5,3,5
Arkansas," 3,067,732 ",2023,5,2,2,2,1,0,5,5,4,3,4,5,3,6
California," 38,965,193 ",2023,2,5,4,3,3,0,5,3,2,3,1,1,5,1
Colorado," 5,877,610 ",2023,2,2,4,4,3,0,4,3,4,3,2,1,4,1
Connecticut," 3,617,176 ",2023,2,2,5,4,3,0,4,1,2,3,1,1,4,1
Delaware," 1,031,890 ",2023,3,3,3,2,3,0,1,3,4,3,2,2,3,1
District of Columbia," 678,972 ",2023,3,5,5,5,3,0,3,1,4,4,1,1,3,1
Florida," 22,610,726 ",2023,3,3,3,3,2,0,4,5,5,3,3,4,1,5
Georgia," 11,029,227 ",2023,4,4,3,3,2,0,4,5,5,3,4,5,2,5
Hawaii," 1,435,138 ",2023,2,5,3,3,3,0,3,1,1,2,2,1,3,1
Idaho," 1,964,726 ",2023,3,1,2,2,1,0,4,4,5,3,4,5,3,6
Illinois," 12,549,689 ",2023,3,3,3,3,3,0,5,2,3,3,2,1,5,1
Indiana," 6,862,199 ",2023,3,1,3,2,1,0,4,3,4,3,4,4,3,6
Iowa," 3,207,004 ",2023,3,1,3,2,1,0,4,2,4,3,4,5,2,4
Kansas," 2,940,546 ",2023,3,1,3,3,2,0,5,3,4,3,5,5,2,2
Kentucky," 4,526,154 ",2023,4,1,2,2,2,1,3,3,4,3,4,5,3,6
Louisiana," 4,573,749 ",2023,5,3,2,2,1,1,5,4,5,3,5,5,3,6
Maine," 1,395,722 ",2023,1,1,2,3,3,0,3,2,4,3,1,4,3,2
Maryland," 6,180,253 ",2023,3,4,3,4,3,0,3,2,3,2,1,1,4,1
Massachusetts," 7,001,399 ",2023,1,2,5,5,3,0,4,1,3,3,1,1,3,2
Michigan," 10,037,261 ",2023,3,1,2,3,2,0,3,2,3,3,2,2,3,1
Minnesota," 5,737,915 ",2023,2,1,3,3,3,0,4,1,3,3,1,2,3,1
Mississippi," 2,939,690 ",2023,5,3,2,2,1,1,4,5,4,3,4,5,3,6
Missouri," 6,196,156 ",2023,4,1,3,3,1,0,5,4,4,3,3,5,3,6
Montana," 1,132,812 ",2023,2,1,3,3,1,0,1,4,3,3,3,5,2,1
Nebraska," 1,978,379 ",2023,3,1,3,3,1,0,4,3,4,3,4,3,3,5
